Feature,Score,Neighbor 1, Neighbor 1 score,Neighbor 2, Neighbor 2 score,Neighbor 3, Neighbor 3 score,Neighbor 4, Neighbor 4 score,Neighbor 5, Neighbor 5 score,Neighbor 6, Neighbor 6 score,Neighbor 7, Neighbor 7 score,Neighbor 8, Neighbor 8 score,Neighbor 9, Neighbor 9 score,Neighbor 10, Neighbor 10 score,Unnamed: 22
POS.266.1156@5.656005,1.0,POS.266.1174@5.656005,0.9919798,POS.104.0635@5.656005,0.977569,POS.408.1557@6.1929946,0.72943455,POS.408.1584@5.6560044,0.66969216,POS.386.1752@5.6569977,0.5932648,POS.403.2034@5.6560044,0.47644126,POS.386.1717@5.441996,0.46885353,POS.296.2702@7.13599,0.46753085,POS.789.3713@5.656004,0.4648035,POS.470.127@5.657002,0.4491587,
POS.529.4335@8.2000065,0.6416416,POS.543.4495@8.200004,0.95119876,POS.326.2449@8.200006,0.9205891,POS.557.4643@8.200008,0.8773791,POS.529.433@7.8480105,0.86837363,POS.543.4493@7.8480105,0.8435086,POS.560.3301@7.848011,0.8304206,POS.515.4185@7.849,0.8181748,POS.354.2763@8.199997,0.7579788,POS.498.2954@7.681015,0.7494623,POS.543.4485@8.630004,0.73627734,
POS.264.1965@3.0260007,0.40192777,POS.243.1726@3.0220025,0.8162815,POS.243.1904@3.1619952,0.7045641,POS.255.1908@3.0229998,0.5038899,NEG.620.4032@3.0247262,0.49923155,POS.197.1491@3.0239997,0.4759865,POS.399.2761@3.020997,0.47237614,POS.234.1674@3.0229998,0.45190752,POS.248.1891@3.7929995,0.44969314,POS.104.0635@5.656005,0.37252846,POS.387.0801@2.122997,0.36676034,
POS.104.0635@5.656005,0.2758496,POS.266.1156@5.656005,0.977569,POS.266.1174@5.656005,0.9716612,POS.408.1557@6.1929946,0.74254936,POS.408.1584@5.6560044,0.6710317,POS.386.1752@5.6569977,0.58700365,POS.296.2702@7.13599,0.47633657,POS.403.2034@5.6560044,0.4681207,POS.789.3713@5.656004,0.4393124,POS.470.127@5.657002,0.43055984,POS.794.3271@5.656004,0.42763335,
POS.248.1891@3.7929995,0.23227353,POS.278.1633@2.36,0.49954507,POS.264.1965@3.0260007,0.44969314,POS.266.1174@5.656005,0.41879925,POS.266.1156@5.656005,0.4175342,POS.296.2702@7.13599,0.4014661,POS.104.0635@5.656005,0.39873618,POS.243.1726@3.0220025,0.39305001,POS.408.1557@6.1929946,0.3775786,POS.408.1584@5.6560044,0.3697468,POS.243.0712@0.73400074,0.3631767,
POS.386.1717@5.441996,0.23117548,POS.408.1539@5.968996,0.6142483,POS.290.1122@4.1659937,0.58077735,POS.521.241@6.5289965,0.56467205,POS.266.1151@6.1929946,0.53547776,POS.134.0726@5.872992,0.5271017,POS.386.1781@6.1909976,0.50983196,POS.789.3713@5.656004,0.48378488,POS.266.1156@5.656005,0.46885353,POS.386.1722@5.8720036,0.45988473,POS.266.1174@5.656005,0.45929292,
POS.498.2954@7.681015,0.20453803,POS.529.433@7.8480105,0.7986086,POS.529.4335@8.2000065,0.7494623,POS.543.4493@7.8480105,0.742659,POS.326.2449@8.200006,0.73737,POS.560.3301@7.848011,0.7301814,POS.515.4185@7.849,0.71869296,POS.543.4495@8.200004,0.71720284,POS.557.4643@8.200008,0.7072605,POS.354.2763@8.199997,0.70459074,POS.571.4805@8.199996,0.6736932,
POS.352.2123@2.9129965,0.19735858,POS.352.7138@2.9089975,0.66319543,NEG.RESORCINOL MONOACETATE,0.45209116,POS.250.1312@2.0189984,0.42983633,POS.529.4335@8.2000065,0.4157468,NEG.220.0347@3.97991,0.40597674,POS.543.4495@8.200004,0.4054369,NEG.290.082@3.632435,0.39702898,NEG.653.3699@7.1866775,0.38881493,NEG.290.0819@4.2434,0.38568905,POS.96.0209@0.70099837,0.38409325,
POS.ACar 5:0,0.1958893,POS.Propionyl-L-carnitine (C3:0)_FE,0.43126917,POS.217.1305@1.1239978,0.40117177,POS.217.1309@1.1239978,0.3997119,NEG.188.0215@3.118352,0.3980725,NEG.282.1076@3.1198602,0.3917289,NEG.198.0501@3.1188362,0.38395527,POS.201.0308@2.177999,0.3815631,NEG.282.1076@3.11719,0.38022405,NEG.147.0874@0.663246,0.3765902,POS.232.0534@3.1069963,0.37482524,
POS.201.0308@2.177999,0.16287678,POS.183.0202@2.1780014,0.8031383,POS.183.02@2.1780014,0.80309683,POS.99.0687@2.1780014,0.788396,POS.99.0685@2.1780014,0.7882673,POS.121.0497@2.175997,0.7848771,POS.121.0503@2.175997,0.7845653,POS.215.0432@2.1799963,0.72547686,POS.191.0736@2.177998,0.71544325,POS.97.0526@2.1790006,0.5845574,POS.529.433@7.8480105,0.57592416,
POS.243.0712@0.73400074,0.14248815,NEG.257.0665@0.7252177,0.4375165,NEG.114.0314@0.72499436,0.43213543,NEG.MYO-INOSITOL,0.42271578,NEG.216.0395@0.69033545,0.41013604,NEG.220.8727@0.68176514,0.40199825,NEG.177.8663@0.6825305,0.40002552,POS.84.021@0.7030011,0.3843564,POS.96.0209@0.70099837,0.37945992,NEG.302.9322@0.68379354,0.3789178,NEG.226.0687@0.7253517,0.37817547,
NEG.188.0215@3.118352,0.12073081,NEG.198.0501@3.1188362,0.88565886,NEG.282.1076@3.1198602,0.8480536,NEG.282.1076@3.11719,0.80820054,NEG.264.0319@3.1174238,0.80581135,POS.247.0268@3.1050036,0.7930054,POS.214.0151@3.1069963,0.782176,POS.232.0534@3.1069963,0.7611409,NEG.260.0227@3.1177266,0.7218609,NEG.309.1186@3.1665814,0.7173454,NEG.334.0248@3.1182394,0.69092405,
NEG.499.0904@5.579267,0.11960686,NEG.354.1676@5.579649,0.8566276,NEG.558.1297@5.5803638,0.8552188,NEG.480.1139@5.5798526,0.83144534,NEG.552.1128@5.579016,0.81410265,NEG.522.081@5.5785756,0.79650867,NEG.412.1262@5.5799737,0.78174716,NEG.438.1261@5.5802083,0.7784064,NEG.549.0758@5.580354,0.77532434,NEG.574.1028@5.5808163,0.7634391,NEG.439.1451@5.5795827,0.76237535,
POS.183.02@2.1780014,0.10005349,POS.183.0202@2.1780014,0.9999616,POS.99.0685@2.1780014,0.99612015,POS.99.0687@2.1780014,0.99523944,POS.121.0497@2.175997,0.9927554,POS.121.0503@2.175997,0.9925171,POS.201.0308@2.177999,0.80309683,POS.215.0432@2.1799963,0.76529396,POS.191.0736@2.177998,0.73024386,POS.529.433@7.8480105,0.6508294,POS.153.115@3.303994,0.6349448,
