Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
POS.557.4643@8.200008,69338.84810126582,0.0409808022841249,-4.608907961404126,Mann-Whitney U,161.0,4.3945824417872807e-16,1.5770114777253059e-12,True,Down,4.608907961404126,11.802165145799426,blue
POS.529.4335@8.2000065,58411.39024390244,0.06765477743519523,-3.88566437621288,Mann-Whitney U,175.0,8.65538681517731e-16,1.5770114777253059e-12,True,Down,3.88566437621288,11.802165145799426,blue
POS.266.1156@5.656005,27506.585585585584,45.21049918249048,5.498585941854755,Mann-Whitney U,2866.0,5.025081592768328e-15,6.10379910801593e-12,True,Up,5.498585941854755,11.214399768584611,red
POS.266.1174@5.656005,27292.227272727272,54.11383102434048,5.757925476369787,Mann-Whitney U,2856.0,8.019843480013054e-15,6.4148761941569634e-12,True,Up,5.757925476369787,11.192811721005858,red
POS.104.0635@5.656005,78412.21621621621,21.437158020345095,4.422041751535494,Mann-Whitney U,2854.0,8.801970628645669e-15,6.4148761941569634e-12,True,Up,4.422041751535494,11.192811721005858,red
POS.326.2449@8.200006,141360.83333333334,0.04207972282510945,-4.570730987999952,Mann-Whitney U,231.0,1.217755310175777e-14,7.39583391713422e-12,True,Down,4.570730987999952,11.131012850038827,blue
POS.352.2123@2.9129965,20497.747368421053,59.369599813217285,5.891652483395111,Mann-Whitney U,2806.0,7.881384109295749e-14,4.1028233848962443e-11,True,Up,5.891652483395111,10.38691717779689,red
POS.543.4495@8.200004,74352.0459770115,0.06774173386419312,-3.883811276381387,Mann-Whitney U,282.0,1.232229908878751e-13,5.6128072349427104e-11,True,Down,3.883811276381387,10.250819872841479,blue
POS.248.1891@3.7929995,1798563.7922077922,751.1841196175734,9.553022753843166,Mann-Whitney U,2789.0,1.681247452444929e-13,6.807184129677024e-11,True,Up,9.553022753843166,10.167032501867686,red
NEG.499.0904@5.579267,55362.33663366337,3.099473857197489,1.632023335488309,Mann-Whitney U,2774.0,3.2533877058427175e-13,9.879454000075719e-11,True,Up,1.632023335488309,10.005267056556765,red
NEG.552.1128@5.579016,61160.26262626263,2.662512486271781,1.4127882911000302,Mann-Whitney U,2774.0,3.2533877058427175e-13,9.879454000075719e-11,True,Up,1.4127882911000302,10.005267056556765,red
POS.278.1633@2.36,1322378.3150684931,311.99081063692245,8.285359726414232,Mann-Whitney U,2742.0,1.2965760157785958e-12,3.6344023088440024e-10,True,Up,8.285359726414232,9.439567000297027,red
POS.498.2954@7.681015,27601.534090909092,0.09122089301243372,-3.4544918961598134,Mann-Whitney U,343.0,1.7463121721332082e-12,4.545401110895293e-10,True,Down,3.4544918961598134,9.342427786245745,blue
POS.529.433@7.8480105,111146.47777777778,0.03288310956729047,-4.926509456899062,Mann-Whitney U,356.0,3.022491399515279e-12,7.342639106555784e-10,True,Down,4.926509456899062,9.13414781700301,blue
POS.408.1557@6.1929946,65597.97115384616,380.02325455474,8.569943893079108,Mann-Whitney U,2706.0,5.890399482961752e-12,1.2626244538772134e-09,True,Up,8.569943893079108,8.898725803729485,red
NEG.282.1076@3.1198602,87872.44565217392,0.4412481350415258,-1.1803379141172057,Mann-Whitney U,378.0,7.548020376579249e-12,1.5280547917919325e-09,True,Down,1.1803379141172057,8.81586107288974,blue
POS.326.2457@6.956987,257816.88095238095,0.06995529822381896,-3.837422862452394,Mann-Whitney U,390.0,1.234832712556329e-11,2.3682791602922437e-09,True,Down,3.837422862452394,8.625567106582238,blue
NEG.558.1297@5.5803638,204995.9351851852,3.3661737703592296,1.7511096541380287,Mann-Whitney U,2669.0,2.6651380808691418e-11,4.222505724646588e-09,True,Up,1.7511096541380287,8.37442975296341,red
POS.228.1722@7.388,92219.475,0.08380368191311573,-3.576842559679421,Mann-Whitney U,415.0,3.389356764857301e-11,5.1461733546416695e-09,True,Down,3.576842559679421,8.28851558818082,blue
NEG.354.1676@5.579649,10053912.98,3.4834116471857985,1.8005009714206521,Mann-Whitney U,2654.0,4.8496878682642176e-11,6.797024073828772e-09,True,Up,1.8005009714206521,8.167681191882581,red
